CARD_ID(카드번호),USER_TYPE(사용자구분코드),COMPANY_ID(발행사ID),GETON_DATETIME(승차일시),GETON_STATION_ID(승차역ID),GETOFF_DATETIME(하차일시),GETOFF_STATION_ID(하차역ID),DISTANCE(이용거리)
D**************E,21,C900008,201803310000,250,201803312359,0214,999999
D**************6,11,C900008,201803310000,4112,201803312359,0205,999999
D**************2,11,C900008,201803310000,421,201803312359,0327,999999
D**************F,11,C900001,201803310000,2741,201803312359,2736,999999
D**************C,21,C900008,201803310000,2525,201803312359,2520,999999
D**************C,11,C900008,201803310000,2520,201803312359,4125,999999
D**************2,11,C900008,201803310000,2519,201803312359,2555,999999
D**************5,23,C900008,201803310000,159,201803312359,0158,999999
D**************2,11,C900008,201803310000,230,201803312359,0233,999999
D**************F,11,C900008,201803310000,216,201803312359,0216,999999
D**************6,12,C900001,201803310000,248,201803312359,0216,999999
D**************F,11,C900008,201803310000,2547,201803312359,2559,999999
D**************C,43,C900008,201803310000,152,201803312359,0202,999999
D**************6,23,C900008,201803310000,2713,201803312359,2555,999999
D**************3,12,C900008,201803310000,330,201803312359,0311,999999
D**************C,11,C900008,201803310000,236,201803312359,0331,999999
D**************3,11,C900001,201803310000,2647,201803312359,0421,999999
D**************D,12,C900008,201803310000,412,201803312359,0433,999999
D**************D,11,C900001,201803310000,2534,201803312359,2535,999999
D**************D,11,C900008,201803310000,2549,201803312359,0339,999999
D**************D,12,C900008,201803310000,210,201803312359,0208,999999
D**************7,12,C900001,201803310000,433,201803312359,0429,999999
D**************D,11,C900008,201803310000,335,201803312359,0327,999999
D**************7,43,C900008,201803310000,156,201803312359,0317,999999
D**************7,43,C900008,201803310000,317,201803312359,0424,999999
D**************F,11,C900008,201803310000,2739,201803312359,2746,999999
D**************A,11,C900008,201803310000,2527,201803312359,2812,999999
D**************1,21,C900001,201803310000,242,201803312359,0214,999999
D**************B,21,C900008,201803310000,229,201803312359,0225,999999
D**************8,11,C900001,201803310000,2513,201803312359,2522,999999
D**************4,21,C900008,201803310000,2645,201803312359,2551,999999
D**************D,42,C900008,201803310000,204,201803312359,0202,999999
D**************2,41,C900008,201803310000,2715,201803312359,0422,999999
D**************4,12,C900008,201803310000,2716,201803312359,2722,999999
D**************A,11,C900001,201803310000,2823,201803312359,0150,999999
D**************8,11,C900008,201803310000,2728,201803312359,2728,999999
D**************4,21,C900008,201803310000,2542,201803312359,2560,999999
D**************A,12,C900008,201803310000,2631,201803312359,0426,999999
D**************1,11,C900001,201803310000,4113,201803312359,4108,999999
D**************5,11,C900001,201803310000,215,201803312359,0223,999999
D**************F,12,C900008,201803310000,410,201803312359,0154,999999
D**************E,11,C900008,201803310000,2821,201803312359,0327,999999
D**************1,12,C900008,201803310000,2612,201803312359,2621,999999
D**************B,21,C900008,201803310000,411,201803312359,0413,999999
D**************7,23,C900001,201803310000,2725,201803312359,2726,999999
D**************2,24,C900008,201803310000,309,201803312359,0311,999999
D**************D,11,C900001,201803310000,429,201803312359,0222,999999
D**************7,21,C900008,201803310000,211,201803312359,4102,999999
D**************E,23,C900008,201803310000,212,201803312359,2731,999999
D**************8,11,C900008,201803310000,157,201803312359,0153,999999
D**************E,12,C900001,201803310000,2717,201803312359,2714,999999
D**************B,11,C900008,201803310000,2820,201803312359,0225,999999
D**************E,11,C900001,201803310000,316,201803312359,0312,999999
D**************B,23,C900001,201803310000,2822,201803312359,2817,999999
D**************F,12,C900001,201803310000,2714,201803312359,2715,999999
D**************A,43,C900001,201803310000,2627,201803312359,2517,999999
D**************B,41,C900008,201803310000,201,201803312359,0219,999999
D**************D,41,C900001,201803310000,153,201803312359,0150,999999
D**************2,41,C900008,201803310000,318,201803312359,0150,999999
D**************9,23,C900001,201803310000,4102,201803312359,4105,999999
D**************F,11,C900008,201803310000,2737,201803312359,0217,999999
D**************C,11,C900008,201803310000,2643,201803312359,2643,999999
D**************6,11,C900008,201803310000,323,201803312359,0204,999999
D**************1,11,C900008,201803310000,2551,201803312359,0226,999999
D**************B,11,C900008,201803310000,4128,201803312359,0239,999999
D**************7,11,C900001,201803310000,2740,201803312359,0421,999999
D**************4,12,C900001,201803310000,428,201803312359,0420,999999
D**************1,23,C900001,201803310000,4109,201803312359,4107,999999
D**************9,21,C900008,201803310000,207,201803312359,4708,999999
D**************2,21,C900008,201803310000,2756,201803312359,0331,999999
D**************5,42,C900008,201803310000,2536,201803312359,0424,999999
D**************4,11,C900008,201803310000,2623,201803312359,4123,999999
D**************5,11,C900001,201803310000,2815,201803312359,0426,999999
D**************D,11,C900008,201803310000,2752,201803312359,2549,999999
D**************8,11,C900008,201803310000,2719,201803312359,0211,999999
D**************F,23,C900008,201803310000,249,201803312359,2746,999999
D**************1,11,C900008,201803310000,2624,201803312359,0216,999999
D**************8,11,C900008,201803310000,4127,201803312359,4102,999999
D**************E,11,C900008,201803310000,409,201803312359,4117,999999
D**************9,12,C900001,201803310000,430,201803312359,0420,999999
D**************8,21,C900008,201803310000,2718,201803312359,0331,999999
D**************C,23,C900001,201803310000,420,201803312359,0417,999999
D**************7,23,C900008,201803310000,2755,201803312359,2754,999999
D**************1,12,C900008,201803310000,2561,201803312359,2547,999999
D**************2,12,C900008,201803310000,324,201803312359,0216,999999
D**************D,11,C900008,201803310000,314,201803312359,0327,999999
D**************D,23,C900008,201803310000,340,201803312359,0331,999999
D**************2,11,C900001,201803310000,213,201803312359,0331,999999
D**************5,21,C900001,201803310000,4119,201803312359,2548,999999
D**************F,42,C900008,201803310000,322,201803312359,0202,999999
D**************4,11,C900008,201803310000,241,201803312359,0203,999999
D**************9,43,C900008,201803310000,220,201803312359,0220,999999
D**************9,12,C900008,201803310000,2760,201803312359,2748,999999
D**************1,21,C900008,201803310000,2738,201803312359,0151,999999
D**************1,11,C900008,201803310000,2636,201803312359,0329,999999
D**************1,21,C900001,201803310000,4708,201803312359,0209,999999
D**************A,11,C900008,201803310000,325,201803312359,0329,999999
D**************E,23,C900008,201803310000,4111,201803312359,0235,999999
D**************0,11,C900008,201803310000,2812,201803312359,4123,999999
D**************0,21,C900001,201803310000,4117,201803312359,4129,999999
D**************A,21,C900008,201803310000,4702,201803312359,0322,999999
D**************5,12,C900008,201803310000,4124,201803312359,4123,999999
D**************5,21,C900008,201803310000,206,201803312359,0210,999999
D**************9,12,C900008,201803310000,2749,201803312359,2731,999999
D**************D,23,C900008,201803310000,2726,201803312359,2737,999999
D**************8,11,C900001,201803310000,419,201803312359,2720,999999
D**************7,12,C900008,201803310000,427,201803312359,0216,999999
D**************D,21,C900008,201803310000,2824,201803312359,0204,999999
D**************4,12,C900001,201803310000,2511,201803312359,0217,999999
D**************B,43,C900008,201803310000,246,201803312359,0424,999999
D**************3,11,C900001,201803310000,2819,201803312359,2815,999999
D**************2,21,C900001,201803310000,4120,201803312359,2522,999999
D**************9,23,C900008,201803310000,4711,201803312359,0156,999999
